Price,Details,Title,Location
"₹ 9,600",2 BHK - 2 Bathroom - 1000000 sqft,Girls flatmates urgent need fully independent,"SHIVAJI NAGAR JHUGGIES, BHOPAL"
"₹ 9,600",2 BHK - 2 Bathroom - 10000000 sqft,Only girls flatmates fully independent urgent requirement,"SHIVAJI NAGAR JHUGGIES, BHOPAL"
"₹ 1,500",2 BHK - 1 Bathroom - 600 sqft,Lig 26 b sector indrapuri Bhopal Madhya Pradesh,"INDRAPURI SECTOR B, BHOPAL"
"₹ 14,000",2 BHK - 2 Bathroom - 980 sqft,2 bhk flat semi furnished in trilanga Colony,"ARERA COLONY, BHOPAL"
"₹ 5,500",2 BHK - 2 Bathroom - 1600 sqft,Urgently needed 2 female flatmate,"ISHWAR NAGAR, BHOPAL"
"₹ 5,500",2 BHK - 2 Bathroom - 600 sqft,1 room available in 2 bhk flat,"SAKET NAGAR, BHOPAL"
"₹ 15,000",2 BHK - 2 Bathroom - 1000 sqft,2 bhk Flat for rent in center of Bhopal,"PROFESSORS COLONY, BHOPAL"
"₹ 4,000",2 BHK - 1 Bathroom - 0 sqft,Female flatmate needed to share independnt 2BHK flat in Gulmohar colny,"GULMOHAR COLONY, BHOPAL"
"₹ 13,000",2 BHK - 2 Bathroom - 1500 sqft,Rent for 2bhk part portion ground floor Shahpura A sector,"SHAHPURA, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 630 sqft,2Bhk flat available for rent,"PEPAL KAPAD, BHOPAL"
"₹ 6,000",2 BHK - 1 Bathroom - 700 sqft,1 cum 2 bhk / home cum flat,"MANDI LAXMI GANJ, BHOPAL"
"₹ 25,000",2 BHK - 2 Bathroom - 700 sqft,Rent for 2bhk Fully furnished covered campus arera colony.,"ROHIT NAGAR, BHOPAL"
"₹ 8,000",2 BHK - 1 Bathroom - 800 sqft,Flat apartment,"KOTRA SULTANABAD, BHOPAL"
"₹ 10,500",2 BHK - 2 Bathroom - 600 sqft,Flat for rent only for family and working professionals,"GULMOHAR COLONY, BHOPAL"
"₹ 11,050",2 BHK - 2 Bathroom - 650 sqft,2 BHK Flat for Rent near Aura Mall,"GULMOHAR COLONY, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 1000 sqft,Well ventilated flat for rent,"TT NAGAR, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 5400 sqft,"Buy,sell,rent","ARERA COLONY, BHOPAL"
"₹ 8,500",2 BHK - 2 Bathroom - 450 sqft,Flat for rent only for girls.,"ASHOKA GARDEN NAGAR NIGAM COLONY, BHOPAL"
"₹ 15,000",2 BHK - 2 Bathroom - 1200 sqft,2bhk unit available for rent near rani kamlapati station,"ARERA COLONY, BHOPAL"
"₹ 5,000",2 BHK - 2 Bathroom - 700 sqft,Need a girl roomate for 2 bhk flat,"ASHOKA GARDEN, BHOPAL"
"₹ 16,000",2 BHK - 2 Bathroom - 1200 sqft,2 bhk full furnished flat for family,"GOVINDPURA, BHOPAL"
"₹ 8,500",2 BHK - 1 Bathroom - 455 sqft,Requirements for 2 Male Flatmate,"ARERA COLONY, BHOPAL"
"₹ 15,000",2 BHK - 1 Bathroom - 650 sqft,2bhk furnished flat with fridge almirah Ac in 6no Stop near MP Nagar,"MP NAGAR, BHOPAL"
"₹ 8,000",2 BHK - 1 Bathroom - 600 sqft,Flate for rent,"NAKKAR KHANA, BHOPAL"
"₹ 6,499",2 BHK - 1 Bathroom - 800 sqft,FLAT FOR RENT STUDENT ONLY Separate,"PUSHPA NAGAR, BHOPAL"
"₹ 15,000",2 BHK - 2 Bathroom - 1000 sqft,2 bhk Flat For rent in center of the Bhopal,"PROFESSORS COLONY, BHOPAL"
"₹ 5,000",2 BHK - 2 Bathroom - 800 sqft,Urgent flatmate required ( male ),"HABIBGANJ, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 900 sqft,2bhk flat rent in aura mall trilanga,"GULMOHAR COLONY, BHOPAL"
"₹ 8,000",2 BHK - 1 Bathroom - 1000 sqft,2 BHK FLAT FOR RENT,"ASHOKA GARDEN MAYUR VIHAR, BHOPAL"
"₹ 15,000",2 BHK - 2 Bathroom - 700 sqft,2 bhk flat fully furnished in trilanga Colony,"ARERA COLONY, BHOPAL"
"₹ 8,000",2 BHK - 1 Bathroom - 550 sqft,2bhk flat for rent at govind garden near apsara takies,"GOVINDPURA, BHOPAL"
"₹ 15,000",2 BHK - 2 Bathroom - 1200 sqft,2BHK Duplex for Rent Family only,"MP NAGAR ZONE 2 MEERA COMPLEX SOCIETY, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 700 sqft,Good property,"GULMOHAR COLONY, BHOPAL"
"₹ 10,000",2 BHK - 1 Bathroom - 800 sqft,130 Rachna nagar,"RACHNA NAGAR, BHOPAL"
"₹ 13,000",2 BHK - 2 Bathroom - 800 sqft,Flat available for rent,"NARAYAN NAGAR, BHOPAL"
"₹ 7,000",2 BHK - 1 Bathroom - 400 sqft,Only for girls,"SHIVAJI NAGAR, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1000 sqft,"2 BHK Furnished Flat, E-7 Arera Colony","ARERA COLONY, BHOPAL"
"₹ 10,000",2 BHK - 1 Bathroom - 950 sqft,2bhk for rent near aura mall for anyone,"SHAHPURA, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 2000 sqft,Good house for rent,"BHEL, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 1200 sqft,2BHK APARTMENT IN NEW MARKET FOR RENT,"TT NAGAR NEW MARKET, BHOPAL"
"₹ 19,000",2 BHK - 3 Bathroom - 1500 sqft,For rent near chetak bridge,"MP NAGAR, BHOPAL"
"₹ 10,000",2 BHK - 1 Bathroom - 850 sqft,2bhk for rent near aura mall rent 10000,"SHAHPURA, BHOPAL"
"₹ 6,000",2 BHK - 2 Bathroom - 600 sqft,Room rent 6000,"SEMRA KALAN, BHOPAL"
"₹ 4,800",2 BHK - 1 Bathroom - 780 sqft,Male Flatmates required,"MP NAGAR ZONE 1, BHOPAL"
"₹ 10,200",2 BHK - 2 Bathroom - 750 sqft,2 bhk flat in trilanga Colony,"ARERA COLONY, BHOPAL"
"₹ 13,500",2 BHK - 2 Bathroom - 1700 sqft,2bhk semifurnished unit available for rent in danish kunj square,"ROHIT NAGAR, BHOPAL"
"₹ 8,500",2 BHK - 2 Bathroom - 850 sqft,2bhk 1st floor flat available for rent in rohit nagar,"ROHIT NAGAR, BHOPAL"
"₹ 2,000",2 BHK - 1 Bathroom - 669 sqft,Only girls student office worker,"JAHANGIRABAD, BHOPAL"
"₹ 7,500",2 BHK - 1 Bathroom - 800 sqft,Shahjahanabad model ground main road ke pass h new constructed,"BADABGH, BHOPAL"
"₹ 9,000",2 BHK - 1 Bathroom - 400 sqft,Rooms are available for rent near AIIMS hospital,"PIPALIYA PENDE KHAN, BHOPAL"
"₹ 9,000",2 BHK - 1 Bathroom - 400 sqft,Rooms are available for rent near AIIMS hospital,"PIPALIYA PENDE KHAN, BHOPAL"
"₹ 10,000",2 BHK - 1 Bathroom - 800 sqft,"Rent pr dena h 10000rup.monthly (girls students ,)","JAHANGIRABAD, BHOPAL"
"₹ 14,000",2 BHK - 2 Bathroom - 1100 sqft,2BHK Flat Available on Rent at Arera Colony Bhopal,"ARERA COLONY, BHOPAL"
"₹ 20,000",2 BHK - 2 Bathroom - 1000 sqft,2BHK House Portion Available On Rent at Arera Colony Bhopal,"ARERA COLONY, BHOPAL"
"₹ 5,000",2 BHK - 2 Bathroom - 1200 sqft,Need a female flatmate,"ARERA COLONY, BHOPAL"
"₹ 8,500",2 BHK - 1 Bathroom - 1000 sqft,1B2HK for rent,"BARKHERI KALAN, BHOPAL"
"₹ 8,500",2 BHK - 1 Bathroom - 1000 sqft,1B2hk for rent,"BARKHERI KALAN, BHOPAL"
"₹ 26,000",2 BHK - 2 Bathroom - 1300 sqft,2bhk furnised flat covered campus,"MP NAGAR, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 1000 sqft,2BHK FLAT E8 Raddison hotel on road Shivoy Complex /Aura mall,"GULMOHAR COLONY, BHOPAL"
"₹ 3,575",2 BHK - 2 Bathroom - 600 sqft,Need 2 girl flatmate urgently,"RACHNA NAGAR, BHOPAL"
"₹ 4,500",2 BHK - 2 Bathroom - 1000 sqft,Fully indipendent Need room partner,"ASHOKA GARDEN HOUSING BOARD COLONY, BHOPAL"
"₹ 4,850",2 BHK - 1 Bathroom - 1 sqft,Male bachelor Roommate required for a room,"MP NAGAR ZONE 1, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 850 sqft,Newly 2 bhk flat in rohit nagar,"ROHIT NAGAR, BHOPAL"
"₹ 26,000",2 BHK - 2 Bathroom - 800 sqft,"2BHK Furnished flat, Super prime location of Rani kamalapati stn","ARERA COLONY, BHOPAL"
"₹ 10,500",2 BHK - 2 Bathroom - 600 sqft,"2 bhk flat in Bhawani Nagar, near Indrapuri A sector","INDRAPURI SECTOR A, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 1200 sqft,2 bhk flat available for female,"GURU NANAKPURA, BHOPAL"
"₹ 7,000",2 BHK - 2 Bathroom - 450 sqft,A 2 BHK FLAT mainly for bachelors,"ASHOKA GARDEN, BHOPAL"
